id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
on_londonhealthscienchi,London Health Sciences Centre - Children's Hospital,London,ON,42.9682,-81.2249,t,lhsc,time_to_physician,current_estimate
on_londonhealthscienuni,London Health Sciences Centre - University Hospital,London,ON,43.0131,-81.2741,t,lhsc,time_to_physician,current_estimate
on_londonhealthsciences,London Health Sciences Centre - Victoria,London,ON,42.960029,-81.22543,t,lhsc,time_to_physician,current_estimate
on_niagarahealthsystemd,Niagara Health System - Douglas Memorial Hospital,Fort Erie,ON,42.912453,-78.924119,t,oculys,time_to_physician,current_estimate
on_niagarahealthsystemg,Niagara Health System - Greater Niagara General Site,Niagara Falls,ON,43.094227,-79.089464,t,oculys,time_to_physician,current_estimate
on_niagarahealthsystemp,Niagara Health System - Port Colborne General Site,Port Colborne,ON,42.879704,-79.258696,t,oculys,time_to_physician,current_estimate
on_niagarahealthsystems,Niagara Health System - St. Catharines,St Catharines,ON,43.153522,-79.278683,t,oculys,time_to_physician,current_estimate
on_niagarahealthsystemw,Niagara Health System - Welland Hospital Site,Welland,ON,42.9921,-79.2481,t,oculys,time_to_physician,current_estimate
on_northbayregionalheal,North Bay Regional Health Centre,North Bay,ON,46.335613,-79.498369,t,html_scrape,time_to_physician,current_estimate
on_rossmemorialhospital,Ross Memorial Hospital,Lindsay,ON,44.352,-78.7378,t,oculys,time_to_physician,current_estimate
on_royalvictoriaregional,Royal Victoria Regional Health Centre,Barrie,ON,44.3916,-79.6903,t,html_scrape,time_to_physician,current_estimate
on_saultareahospital,Sault Area Hospital,Sault Ste Marie,ON,46.548814,-84.311159,t,sah_luma,time_to_physician,current_estimate
on_stevensonmemorialhos,Stevenson Memorial Hospital,Alliston,ON,44.155748,-79.875121,t,oculys,time_to_physician,current_estimate
on_stjosephshealthcarec,St. Joseph's Healthcare - Charlton Campus,Hamilton,ON,43.240445,-79.884108,t,hamilton,time_to_physician,current_estimate
on_stjosephshealthcareh,St. Joseph's Healthcare Hamilton - King Campus,Hamilton,ON,43.220589,-79.774885,t,hamilton,time_to_physician,current_estimate
on_stmarysgeneralhospit,St. Mary's General Hospital,Kitchener,ON,43.438288,-80.500798,t,oculys,time_to_physician,current_estimate
on_sunnybrookhealthscie,Sunnybrook Health Sciences Centre,Toronto,ON,43.7254,-79.3725,t,html_scrape,time_to_physician,current_estimate
on_temiskaminghospital,Temiskaming Hospital,New Liskeard,ON,47.495162,-79.693153,t,oculys,time_to_physician,current_estimate
on_timminsanddistrictho,TIMMINS AND DISTRICT HOSPITAL/L'HÔPITAL DE TIMMINS ET DU DISTRICT,Timmins,ON,48.487587,-81.313592,t,html_scrape,time_to_physician,current_estimate
on_trilliumhealthpartne,Trillium Health Partners - Mississauga Hospital,Mississauga,ON,43.571586,-79.607685,t,trillium,time_to_physician,current_estimate
on_queenswayhealthcentr,Trillium Health Partners - Queensway Health Centre,Toronto,ON,43.6165,-79.5557,t,trillium,time_to_physician,current_estimate
